team,year,ap_rank,kenpom_rank,team_clean
Austin Peay,2022,128,,Austin Peay
Central Michigan,2022,129,,Central Michigan
Penn,2022,130,,Penn
Loyola Chicago,2022,131,,Loyola Chicago
Georgia,2022,132,,Georgia
Ball St.,2022,133,,Ball St.
Loyola Marymount,2022,134,,Loyola Marymount
Drake,2022,135,,Drake
Northern Illinois,2022,136,,Northern Illinois
Montana,2022,137,,Montana
Texas St.,2022,138,,Texas St.
Boise St.,2022,139,,Boise St.
Louisiana Monroe,2022,140,,Louisiana Monroe
Louisiana Tech,2022,141,,Louisiana Tech
Rhode Island,2022,142,,Rhode Island
Kent St.,2022,143,,Kent St.
Samford,2022,144,,Samford
Bucknell,2022,145,,Bucknell
Southern Illinois,2022,146,,Southern Illinois
UAB,2022,147,,UAB
Miami OH,2022,148,,Miami OH
UTSA,2022,149,,UTSA
UT Arlington,2022,150,,UT Arlington
Pepperdine,2022,151,,Pepperdine
Abilene Christian,2022,152,,Abilene Christian
Brown,2022,153,,Brown
Coastal Carolina,2022,154,,Coastal Carolina
Vanderbilt,2022,155,,Vanderbilt
George Mason,2022,156,,George Mason
Marshall,2022,157,,Marshall
North Texas,2022,158,,North Texas
Eastern Michigan,2022,159,,Eastern Michigan
Charleston Southern,2022,160,,Charleston Southern
Bradley,2022,161,,Bradley
Florida Atlantic,2022,162,,Florida Atlantic
Gardner Webb,2022,163,,Gardner Webb
Nebraska Omaha,2022,164,,Nebraska Omaha
UNLV,2022,165,,UNLV
Stony Brook,2022,166,,Stony Brook
North Florida,2022,167,,North Florida
Winthrop,2022,168,,Winthrop
Lehigh,2022,169,,Lehigh
Hampton,2022,170,,Hampton
Missouri St.,2022,171,,Missouri St.
UC Santa Barbara,2022,172,,UC Santa Barbara
Duquesne,2022,173,,Duquesne
Wake Forest,2022,174,,Wake Forest
Princeton,2022,175,,Princeton
Sam Houston St.,2022,176,,Sam Houston St.
Northern Iowa,2022,177,,Northern Iowa
Louisiana,2022,178,,Louisiana
Presbyterian,2022,179,,Presbyterian
Colorado St.,2022,180,,Colorado St.
Campbell,2022,181,,Campbell
UT Rio Grande Valley,2022,182,,UT Rio Grande Valley
NJIT,2022,183,,NJIT
Ohio,2022,184,,Ohio
Green Bay,2022,185,,Green Bay
Santa Clara,2022,186,,Santa Clara
Oakland,2022,187,,Oakland
New Mexico,2022,188,,New Mexico
Saint Joseph's,2022,189,,Saint Joseph's
Seattle,2022,190,,Seattle
IUPUI,2022,191,,IUPUI
Purdue Fort Wayne,2022,192,,Purdue Fort Wayne
Northern Colorado,2022,193,,Northern Colorado
Hartford,2022,194,,Hartford
Texas Southern,2022,195,,Texas Southern
Illinois Chicago,2022,196,,Illinois Chicago
Cal Baptist,2022,197,,Cal Baptist
Iona,2022,198,,Iona
Mercer,2022,199,,Mercer
American,2022,200,,American
Hawaii,2022,201,,Hawaii
North Dakota St.,2022,202,,North Dakota St.
Richmond,2022,203,,Richmond
FIU,2022,204,,FIU
Illinois St.,2022,205,,Illinois St.
Appalachian St.,2022,206,,Appalachian St.
Washington St.,2022,207,,Washington St.
Indiana St.,2022,208,,Indiana St.
Prairie View A&M,2022,209,,Prairie View A&M
Cal St. Fullerton,2022,210,,Cal St. Fullerton
Fairleigh Dickinson,2022,211,,Fairleigh Dickinson
Rider,2022,212,,Rider
Florida Gulf Coast,2022,213,,Florida Gulf Coast
South Alabama,2022,214,,South Alabama
Columbia,2022,215,,Columbia
Pacific,2022,216,,Pacific
Lamar,2022,217,,Lamar
Dartmouth,2022,218,,Dartmouth
William & Mary,2022,219,,William & Mary
Valparaiso,2022,220,,Valparaiso
Cornell,2022,221,,Cornell
Little Rock,2022,222,,Little Rock
High Point,2022,223,,High Point
Weber St.,2022,224,,Weber St.
Long Beach St.,2022,225,,Long Beach St.
Cal St. Bakersfield,2022,226,,Cal St. Bakersfield
Evansville,2022,227,,Evansville
La Salle,2022,228,,La Salle
South Dakota,2022,229,,South Dakota
UMBC,2022,230,,UMBC
Boston University,2022,231,,Boston University
Southeastern Louisiana,2022,232,,Southeastern Louisiana
Detroit,2022,233,,Detroit
Quinnipiac,2022,234,,Quinnipiac
Eastern Kentucky,2022,235,,Eastern Kentucky
Massachusetts,2022,236,,Massachusetts
Eastern Washington,2022,237,,Eastern Washington
UMKC,2022,238,,UMKC
Holy Cross,2022,239,,Holy Cross
Sacred Heart,2022,240,,Sacred Heart
California,2022,241,,California
Army,2022,242,,Army
Air Force,2022,243,,Air Force
Norfolk St.,2022,244,,Norfolk St.
Morehead St.,2022,245,,Morehead St.
Middle Tennessee,2022,246,,Middle Tennessee
Jacksonville,2022,247,,Jacksonville
Rice,2022,248,,Rice
Troy,2022,249,,Troy
Montana St.,2022,250,,Montana St.
Drexel,2022,251,,Drexel
UC Davis,2022,252,,UC Davis
Cal St. Northridge,2022,253,,Cal St. Northridge
Arkansas St.,2022,254,,Arkansas St.
Western Michigan,2022,255,,Western Michigan
Longwood,2022,256,,Longwood
The Citadel,2022,257,,The Citadel
UMass Lowell,2022,258,,UMass Lowell
Youngstown St.,2022,259,,Youngstown St.
Fordham,2022,260,,Fordham
St. Francis PA,2022,261,,St. Francis PA
New Orleans,2022,262,,New Orleans
LIU Brooklyn,2022,263,,LIU Brooklyn
East Carolina,2022,264,,East Carolina
Delaware,2022,265,,Delaware
Chattanooga,2022,266,,Chattanooga
Siena,2022,267,,Siena
Grambling St.,2022,268,,Grambling St.
