team,year,ap_rank,kenpom_rank
Idaho St.,2022,329,
SIU Edwardsville,2022,330,
McNeese St.,2022,331,
Binghamton,2022,332,
Morgan St.,2022,333,
Cal Poly,2022,334,
Southern,2022,335,
USC Upstate,2022,336,
South Carolina St.,2022,337,
Maine,2022,338,
Kennesaw St.,2022,339,
Savannah St.,2022,340,
Northwestern St.,2022,341,
Coppin St.,2022,342,
San Jose St.,2022,343,
Alabama A&M,2022,344,
New Hampshire,2022,345,
Incarnate Word,2022,346,
UNC Asheville,2022,347,
Idaho,2022,348,
Alcorn St.,2022,349,
Mississippi Valley St.,2022,350,
Chicago St.,2022,351,
Delaware St.,2022,352,
Maryland Eastern Shore,2022,353,
