player_name_clean,first_year,final_year,seasons_played,total_games,avg_pts,career_span,is_one_and_done
Malcolm McMillan,2012,2016,5,123,7.93,5,False
Mike Brown,2012,2016,5,137,7.9,5,False
Michael Messer,2011,2015,5,98,7.86,5,False
Zach Nelson,2011,2018,5,124,7.82,8,False
Amile Jefferson,2013,2017,5,150,7.79,5,False
Jalen Johnson,2017,2021,5,147,7.77,5,False
Angus Brandt,2010,2014,5,124,7.75,5,False
Marcel Mosley,2011,2015,5,105,7.73,5,False
Richaud Gittens,2014,2018,5,125,7.73,5,False
Anthony Smith,2009,2020,5,103,7.71,12,False
Rj Williams,2012,2020,5,136,7.71,9,False
Tyler Lamb,2011,2015,5,118,7.71,5,False
Arkel Lamar,2017,2021,5,100,7.69,5,False
Gary Chivichyan,2016,2020,5,111,7.65,5,False
Kyle Davis,2011,2017,5,164,7.58,7,False
Nick Norton,2015,2019,5,111,7.55,5,False
Chuck Champion,2017,2021,5,110,7.54,5,False
James Washington,2010,2018,5,135,7.54,9,False
Chad White,2010,2014,5,128,7.51,5,False
Traci Carter,2016,2021,5,127,7.47,6,False
Marcus Johnson,2009,2016,5,151,7.46,8,False
Nate Sestina,2016,2020,5,127,7.45,5,False
Josh Schuler,2010,2014,5,106,7.43,5,False
Marcus Allen,2009,2017,5,158,7.42,9,False
Jordan Hill,2009,2018,5,141,7.4,10,False
Ethan Wragge,2010,2014,5,149,7.39,5,False
Pat Moore,2011,2015,5,123,7.36,5,False
Jordan Hicks,2009,2013,5,99,7.34,5,False
Mike Aaman,2013,2017,5,104,7.34,5,False
Andrew Ryan,2011,2015,5,118,7.33,5,False
Ayodeji Egbeyemi,2011,2015,5,110,7.32,5,False
Austin Ruder,2014,2018,5,113,7.31,5,False
Hans Brase,2013,2018,5,109,7.31,6,False
Amir Bell,2010,2018,5,132,7.3,9,False
Sampson Carter,2010,2014,5,133,7.3,5,False
Kenneth Ogbe,2014,2018,5,116,7.29,5,False
Andrew Brown,2009,2019,5,139,7.28,11,False
Temidayo Yussuf,2015,2019,5,119,7.28,5,False
Anthony Collins,2012,2016,5,136,7.25,5,False
Chris Crawford,2011,2016,5,145,7.24,6,False
